,Unnamed: 0,Issue Key,Summary,Description,Assignee,customfield_10010,customfield_11351,customfield_11352,Skills
13,13,AEX-132073,SWE4: Testing BSDIFF POC on target,DDU Images generated,ppable1, Create ddu package for the latest 520 release,to test bsdiff poc on target,we can share the findings with NVIDIA,Testing
14,14,AEX-132072,SWE4: Flashing target with BSDIFF compliant avos release,To complete flashing of devkit using BSDIFF supported AVOS release from NV,ppable1,Target flashed with appropriate version of AVOS release,to flash target ,we can proceed with target testing for bsdiff,Testing
15,15,AEX-132071,SWE4: DDU generation for 520,DDU Images generated,ppable1, Create ddu package for the latest 520 release,to create ddu images for 520 version ,we can proceed with target testing for bsdiff,Testing
16,16,AEX-130123,Modifying deltapy script for DDU Generation, Adding features to create ddu images in the delta generation script,ppable1, MR merged with the functional deltapy,To add functionalities to the deltapy,I can provide functionality to generate DDU images,"Python, testing, debugging"
17,17,AEX-129173,SWE2: TRM requirements for packaging strategy and package extraction,Moving requirements to release state,ppable1," Remove packaging strategy, covered as part of the SOTA
 Software package (OTA pending for released state)
Extraction of package requirements in TRM

Moving requirements to Release State on TRM : Extraction of package",to add requirements to TRM for action items mentioned in the acceptance criterion,we can move the corresponding requirements to released state after review them,TRM
18,18,AEX-126425,SWE4 Fixing SIMS 6823 - FaltMngrCcplex app running but logs not coming in ORIN folder and app name is not coming in running application list in EXEClog,Fixing the SIMS issue 6823,ppable1,,,,"C++, Testing"
19,19,AEX-126231,SWE4 Packaging strategy for SOTA,Adding requirements to the trm for sota packages,ppable1,,,,TRM
20,20,AEX-125913,SWE5 Testing SWDL mock adaptive application for basic IPC communication, test the adaptive SWDL client application SO THAT basic IPC communication can be tested,ppable1,SWDL cli applications is tested for basic IPC communication and check in any changes to git repo,to test the adaptive SWDL client application,basic IPC communication can be tested,Testing
21,21,AEX-122865,,"Removing Compiler flags from CMAKE Lists
[SIMS-4743] Incorrect use of CMAKE_C_FLAGS and CMAKE_CXX_FLAGS in software_update_orin - Jaguar Land Rover JIRA (jlr-apps.com)",ppable1,,,,CMake
22,22,AEX-118915,SWE4 Connection handler static analysis,klocwork static analysis based code changes to connection handler,ppable1,Connection Handler klocwork,,,C++
23,23,AEX-118888,Creating end to end sequence diagram for SOTA wrt SWDL application in MSOSA,Reviewing the overall SOTA flow and adding sequence diagrams in MSOSA,ppable1,MSOSA diagrams for the SOTA sequence,,,Msosa
24,24,AEX-117057,SWE4 Drive Update Abstraction Static Analysis,klocwork static analysis based code changes for drive update abstraction layer,ppable1,Drive Update Abstraction Code cleanup,,,C++
25,25,AEX-117041,SWE3 - Drafting delta image scripts for integration team,Drafting the script for integration team to implement delta generation,ppable1,An MR with the integration team scripts,,,Python
26,26,AEX-117038,SWE3 - Validation of bsdiff release from Nvidia,"Validating NVIDIA's bsdiff release du-delta-poc-rel-05 on orin images _x000D_
",ppable1,"A confluence page with compression results for the experiment _x000D_
Currently the integration team hasnt released the licenses for qnx safety os 224_x000D_
So we have to populate the results for the older versions of integration team images",,,testing
27,27,AEX-113694,SWE 3 Implementing Logging Wrapper for SWDL,"Creating a logging static library to be used across components of SWDL_x000D_
The logging module has ability to use std::cout and ara logger depending on the build environment we are using",ppable1,Code tested with GTest suite,Add logging module to the SWDL,so that we can replace std::cout with the logger implementation,C++
28,28,AEX-94833,SWE4: BSDIFF Validation Experiments,Validation of BSDIFF release with the patchset provided in the mail chain with David Lang and team,ppable1," Confluence page with the results of validation
 Email sent to relevant stakeholders ",To validate the BSDIFF release with the patchset,I can send the validation results to relevant stakeholders,Testing
29,30,AEX-80721,ADAS Pilot Training Review - Detecting Memory Leaks in C/C++ Applications, Pranav please find the ticket assigned for the course review of Detecting Memory Leaks in C/C++ Applications. Please see details in EPIC to access the course content and how to fill in the review record. Thanks,ppable1,,,,C++
30,32,AEX-72030,Understanding the gaps in SWE1 for ISL,Understanding the gaps in SWE1 for ISL,ppable1,"1 Changed requirements according to Krunal_x000D_
2 Identification of gaps between SWE3 and these requirements",,,TRM
31,33,AEX-62132,"SWE 3 Implementing rollback function for ISLState::Commit, ISLState::Activate",Bug Fixing- ISL,ppable1,Code tested with GTest suite,add functionality to rollback from states,we can ensure border cases are taken care of and code is working as intended,"C++, debugging"
32,34,AEX-60042,Implementation of ISL interfaces,Implementation of ISL interfaces,ppable1,Raise MR for ISL Implementation,to implement ISL interfaces,SUM can use the ISL interfaces to invoke software update,C++
33,35,AEX-56306,Development of bootmanager-plugin,"Post confirmation from Rakesh exploration activity_x000D_
Communication gateway must work_x000D_
Bootmanager in Aurix should work { SomeIP }",ppable1,,,,C++
34,36,AEX-47626,SWE 1 Create draft for requirements for Logging,"Define, draft and review SWE-1 requirements for Logging_x000D_
_x000D_
DoD: The requirements reviewed, accepted and documented into TRM",ppable1,,to define requirements for Synchronisation between Diagnostics & OTA Sessions,we can move ahead to work on SWE2 and SWE3,TRM
35,37,AEX-43590,Interdependency review ,Discussion with team members about interdependent requirements,ppable1,,,,TRM
36,38,AEX-43588,Review  of requirement,Second review of requirements,ppable1,,,,TRM
37,39,AEX-43586,Review  1 of requirements,First review of the requirements,ppable1,,,,TRM
38,40,AEX-41153,"AA Setups, QNX Setup","Adaptive Autosar setup, QNX setup required every week to compile and verify code to fix any found issues",ppable1,"1 Processes and tools set up for AA and QNX drive update_x000D_
2 Documentation of processes used_x000D_
3 Documentation of issues found during testing",to establish processes and tools on AA and QNX update ,I can test code developed and fix any issues,Autosar adaptive
39,41,AEX-40980,Integrate JSON Parser for Orin ISL,"Integrate JSON Parser for Orin ISL , test and checkin",ppable1,"Integrate, Implement , test json Parser for Orin ISL and check-in to git ",to Json Parser utility for Orin ISL,Orin ISL can fetch and parse json metadata json files,C++
40,42,AEX-40979,Develop Individual ISL States for ISL Diagnostic update,"Implement, test and review Initialization layer for Orin ISL After reviewed and review comments resolved , check in to git repository",ppable1,,to develop the Initialization layer for Orin ISL,we can proceed to work on rest of business logic for ISL,"C++, testing, debugging"
41,43,AEX-40977,SWE 1 Requirements for Synchronisation between Diagnostics & OTA Sessions,"Define, draft and review SWE-1 requirements for Synchronisation between Diagnostics & OTA Sessions.
We want to define how precedence of one update mode over other is defined within ISL. For example, we want to define requirements in a case where an update in OTA is interrupted by a diagnostic update and vice-versa.
DoD: The requirements reviewed, accepted and documented into TRM.",ppable1,,to define requirements for Synchronisation between Diagnostics & OTA Sessions,we can move ahead to work on SWE2 and SWE3,TRM
42,44,AEX-40972,Modifying DAL APIs for deploy metadata,Modifying DAL APIs for deploy metadata,ppable1,Reviewed API documentation for LCM component within MSOSA,to create API documentation for LCM ,"the workings, requirements and interactions of LCM are defined completely","C++, Msosa, TRM"
43,45,AEX-38251,Draft SWE1 Software Requirements for Orin ISL ,"Draft software requirements for Orin ISL for modules :
Initialization layer, Public layer, State machine,
Abstraction of NVIDIA,
Utility",ppable1,SWE level requirements for Orin ISL drafted in TRM,to draft swe level requirements for ORIN ISL,"we can complete SWE1 and move ahead to SWE2,3",TRM
44,46,AEX-36776,Understanding scope of ISL( installer service library),"The Install service Library (ISL) is a software component that resides on the Vehicle ECU responsible for updating software on the ECU.
DoD:
A confluence page with the learnings from the study as well as review session.",ppable1,"A review session with a team member_x000D_
A confluence page documenting the learnings",to understand what ISL is and its scope,so that I can perform my future tasks,Communication
45,47,AEX-36767,Understanding ways to update : OTA / diagnostics,"All modules within the ECU - CCPLEX, FSI and Aurix, are updateable using both Diagnostic based update (UDS) as well as OTA, adhering to the standard diagnostic protocols, diagnostic requirements and interfaces defined by JLR.

DoD:
A confluence page with the learnings from the study as well as review session.",ppable1,"A review session with a team member_x000D_
A confluence page documenting the learnings",to study about ways to update OTA and Dignostics,"so that I can get familiar with concepts like UDS, OTA, Diagnostics ",communication
46,48,AEX-36763,SW flash and hands-on for memory layout on devkit,"Full image update is one of the ways to update the ORIN devkit Having a hands-on knowledge of the process is crucial for the team We should go through the documentation and perform a full image update_x000D_
DoD:_x000D_
Completion of full image update using the documented steps",ppable1,Completion of full image update using the documented steps,go through the documented steps of full image update,I can get familiar with the devkit and perform a full image update,testing
47,49,AEX-35372,Training for TRM and get write access TRM request," To review the training materials provided for TRM and get accustomed with the usage.
  To complete TRM assessments
 To request approval for TRM  Write access.",ppable1," Basic understanding of TRM
 Hands-on tutorials of TRM
 Passing TRM assessments
 Getting access for TRM",to get well versed with TRM training,it will facilitate to draft requirements in the upcoming sprints,TRM
48,50,AEX-16476,Ramp Up: Software Update Manager workflow,"As a SW Architect

I want to understand SUM workflow and collaborate with SUM team for the same

So that 

DoD:
  Understand the workflow of SUM
 Discussions with SUM team regarding any queries
  How we can use this understanding to develop SUM for DADC",ppable1,,,,communication
49,51,AEX-160470,SWE3 Send dummy signal (GetActiveBootchain) for SIMS-9362,Send dummy signal (GetActiveBootchain) from Idle state to validate CCPLEX->AURIX communication,asriva34,Send dummy signal (GetActiveBootchain) from Idle state to validate CCPLEX->AURIX communication,to Send dummy signal (GetActiveBootchain) from Idle state ,to validate CCPLEX->AURIX communication,"c++, autosar adaptive, testing"
50,52,AEX-160191,SWE6 Test Signed F188package update through corvus,To test and verify signed image update for signed F188 package through corvus,asriva34,Validation of signed image update for signed F188 package using corvus,update using signed F188 package,wired update can be validated,"corvus, testing"
51,53,AEX-159128,review the full image update,To review and verify the full image signed update,asriva34,,,,debugging
52,54,AEX-158232,SWE3 Ccplex Aurix Changes for NV Bootchain Configurator,"When SetNextBootchain API provided by NVM is called, the execution of the task takes around 3 second.
 In case we issue any other command for Setting or Getting the bootchain, we get an error on the Aurix console and the NVM persistency blocks are corrupted.
 This leads to invalid response from getNext bootchain in the subsequent power cycles due to which ORIN does not boot up.",asriva34,"No NV block Corruption at NV API queries_x000D_
_x000D_
Fix Delivered:_x000D_
_x000D_
orin_build fix MR: https://git-gddsdojlrmotorcom/ADAS/loki/sw-integration/loki-builds/orin_build/-/merge_requests/453 _x000D_
aurix_build fix MR: https://git-gddsdojlrmotorcom/ADAS/loki/sw-integration/loki-builds/aurix_build/-/merge_requests/543  ",to make changes in software-update-orin and software-update-aurix,Bootchain configurator works fine,"c++, testing, debugging, trace32"
53,55,AEX-157322,SWE3 SIMS 5472 fixes,Code Modifications for SIMS-5472 ,asriva34,SIMS 5472 Changes are realised,,,"debugging, testing"
54,56,AEX-152118,SWE3 DID D05B implementation (response codes 0x41 to 0x73),"Implementation of DID D05b response codes Response codes covered:_x000D_
E_COMMIT_UNSUCCCESSFUL = 0x41,_x000D_
E_COMMIT_INPROGRESS = 0x42,_x000D_
E_ROLLBACK_SUCCESS = 0x50,_x000D_
E_ROLLBACK_FAILURE = 0x51,_x000D_
E_ROLLBACK_INPROGRESS = 0x52,_x000D_
E_TIMEOUT_PENDNG_ROLLBACK_ACTIVATION = 0x60,_x000D_
E_SYNC_PENDING = 0x70,_x000D_
E_SYNC_INPROGRESS = 0x71,_x000D_
E_SYNC_UNSUCCESSFUL = 0x72,_x000D_
E_UNDEFINED = 0xFF,_x000D_
E_VALIDATION_SUCCESS_WAITING_INSTALLATION = 0x73",asriva34,Code merged for D05B response codes,write and test code blocks,we get specific responses for D05B,"c++, corvus, testing"
55,57,AEX-152095,SWE3 DID D05B implementation (response codes 0x014 to 0x40),"Implementation of DID D05b response codes Response codes covered:_x000D_
E_SOFTWARE_EXECUTION_ERROR = 0x14,_x000D_
E_Wait_ACTIVATION = 0x15,_x000D_
E_REPROGRAM_MAXCOUNT_REACHED = 0x16,_x000D_
E_SOFTWARE_HARDWARE_VERSION_INCOMPATIBLE = 0x17,_x000D_
E_INSTALLATION_INPROGRESS = 0x18,_x000D_
E_INSTALLATION_SUCCESSFUL = 0x19,_x000D_
E_VALIDATION_SUCCESS_WAITING_SWITCHBANK = 0x1A,_x000D_
E_VALIDATION_UNSUCCESSFUL = 0x1B,_x000D_
E_SWITCHBANK_SUCCESSFUL_PENDING_ACTIVATION = 0x20,_x000D_
E_SWITCHBANK_UNSUCCESSFUL = 0x21,_x000D_
E_SWITCHBANK_INPROGRESS = 0x22,_x000D_
E_FIRSTRUNTEST_SUCCESSFUL = 0x30,_x000D_
E_FIRSTRUNTEST_INPROGRESS = 0x31,_x000D_
E_FIRSTRUNTEST_UNSUCCESSFUL = 0x32,_x000D_
E_COMMIT_SUCCESSFUL = 0x40,",asriva34,Code merged for D05B response codes,write and test code blocks,we get specific responses for D05B,"c++, corvus, testing"
56,58,AEX-152083,SWE3 DID D05B implementation (response codes 0x00 to 0x13),"Implementation of DID D05b response codes Response codes covered:_x000D_
E_LASTSWDL_SUCCESS = 0x00,_x000D_
E_LASTSWDL_INCOMPLETE = 0x01,_x000D_
E_FAILED_SIGNATURE_CHECK = 0x02,_x000D_
E_SWVERSION_MISMATCH = 0x03,_x000D_
E_CHECKVALID_APPLICATION_NOTRUN = 0x04,_x000D_
E_SOFTWARE_DOWNLOAD_INPROGRESS = 0x05,_x000D_
E_SOFTWARE_DOWNLOAD_INCOMPLETE = 0x06,_x000D_
E_SWVERSION_MISMATCH_CONTROLSLAVE_NODE = 0x07,_x000D_
E_WAIT_VALIDATE_CONFIGURATION = 0x08,_x000D_
E_VALIDATE_CONFIGURATION_INPROGRESS = 0x09,_x000D_
E_CONFIGURATION_PARAMETER_CONFLICT = 0x0A,_x000D_
E_CONFIGURATION_PARAMETER_HARDWARE_MISMATCH = 0x10,_x000D_
E_INVALID_PARAMETER_VALUES = 0x11,_x000D_
E_CONFIGURE = 0x12,_x000D_
E_CONFIGURATION_NOTSUPPORTED = 0x13,",asriva34,Code merged for D05B response codes,write and test code blocks,we get specific responses for D05B,"c++, corvus, testing"
57,59,AEX-146011,SWE3 S2S fixes for SIMS 8313,SIMS-8313 fix by integrating jlr_swdl_application with updated ARXML,asriva34,"SIMS-8313 is fixed, no crashes for DFMC",to integrated jlr_swdl_application with updated ARXMLs,SIMS-8313 can be fixed,"autosar adaptive, c++, debugging, testing"
58,60,AEX-141413,SWE3 Validating S2S binding (configuration changes),IP configuration changes,asriva34,CCPLEX <--> Aurix Communication Successful,,,"autosar adaptive, debugging"
59,61,AEX-138155,SWE4 Perform Interface testing for Orin UDP messages using Canoe,to validate S2S (Aurix to CCPLEX) by sending signal using CANOE  tool,asriva34,,,udp messages to orin,"canoe, testing"
60,62,AEX-131985,SWE3 Changes in Diag Controller Interface for Update Scenarios, Code changes for multiple update scenarios for f124 and f188 packages ,asriva34,Successful Update of Devkit/TAMS with multiple update requests,to make code changes for SWDL,we can cover multiple scenarios for update API call for f124 and f188 packages,"c++, testing"
61,63,AEX-130985,SWE3 Logging Integration for ISL,"Modifications in current logger_x000D_
Integration of logger for ISL module",asriva34,"Logging tested in linux_x000D_
ARA Logging tested on TAMS","to modify the logger, and integrate it in sub-components like ISL",logging use case is easier and logging module can be used,"c++, cmake"
62,64,AEX-129165,SWE4 GTest cases for ISL,To write google test using gtest and gmock for ISL state classes,asriva34,Code coverage above 90%,write google test cases for ISL,we get 90% code coverage,"c++, testing"
63,65,AEX-125901,SWE3 Integration of PREEvision model," PREEvision model to be provided for SWDL interfaces
  [https://git-gdd.sdo.jlrmotor.com/ADAS/loki/platform-services/CCPLEXServices/-/merge_requests/23]
  [https://git-gdd.sdo.jlrmotor.com/ADAS/loki/platform-services/CCPLEXServices/-/merge_requests/14]
  Integration of Model for our component
 Code Changes
 Bug Fixes",asriva34,Fixed compilation issues,to replace our ARXMLs with PREEvision modelled ARXLs ,"our component is inline with other components and we can facilitate services like s2s, DM","autosar adaptive, debugging, testing"
64,66,AEX-125889,SWE3 S2S Pdu ARXML changes,https://jiradevopsjlr-appscom/browse/SIMS-5161,asriva34,"Adding SWDL I signal and I signal triggerings in model, Application should successfully launch in integration build  ",,,"autosar adaptive, c++"
65,67,AEX-125885,SWE3 Machine Model ARXML changes for S2S   ,https://jiradevopsjlr-appscom/browse/SIMS-5161,asriva34,Application launching Successfully after machine model changes,,,"autosar adaptive, testing"
66,68,AEX-124226,SWE3 Validate S2S running with PREEvision changes,"Making jlr_swdl_appllication run independently with S2S enabled to proceed with testing_x000D_
TAMS configuration",asriva34,"Making jlr_swdl_appllication run independently with S2S enabled to proceed with testing_x000D_
TAMS configuration",to facilitate communication between aurix and ccplex,we can send and receive bootchain configuration signals,testing
67,69,AEX-123789,SIMS-6457- SWDL 0074 crashing SomeIP Deamon,Fix issue: [SIMS-6457] SWDL 0074 crashing SomeIP Deamon - Jaguar Land Rover JIRA (jlr-appscom),asriva34,Issue is fixed and tested,,,"debugging, testing"
68,70,AEX-117059,SWE3 SWDL Drop 7 Integration,"Providing descriptions for SWDL services for PREEvision modelling_x000D_
_x000D_
https://git-gddsdojlrmotorcom/ADAS/loki/platform-services/CCPLEXServices/-/tree/aex-115251-ccf-client-services-for-drop8?ref_type=heads",asriva34,,,,"communication, autosar adaptive"
69,71,AEX-116539,SWE3 Dynamic File Manager,Serve Metadata files to dumaster,asriva34,Test for  all the phases of update using generated metadata,,,c++
70,72,AEX-97703,SWE3 Validate and Test Rollback Sequences,Validate and test the patch for rollback sequences [AEX-62132],asriva34,Rollback functions properly,,,"debugging, testing"
71,73,AEX-86895,SWE4 GTest for Idle state  ,Unit test for Idle State using gtest and gmock framework ,asriva34,Code coverage >= 90% for Idle state,to create unit tests for Idle state,We can get code coverage reports for Idle state,"c++, testing"
72,74,AEX-77116,Develop Tar package extractor,Integrate the tar package extractor using ZLib,asriva34,Tar package extractor,,,"c++, cmake"
73,75,AEX-62144,GCoverage for Utilities,Integrating task runner utilities in orin ISL implementation,asriva34," Integration of task runner
 Test cases passed for all APIs in OrinImpl",to integrate task runner utility in ISL,I can run asynchronous APIs efficiently using task runner,c++
74,76,AEX-40985,GTest Suite For Utilities,"DoD:
  Design the GTest suite for utilities
  Upload and merge it with master in gitlab",asriva34,"DoD:_x000D_
_x000D_
Design the GTest suite for utilities_x000D_
Upload and merge it with master in gitlab",,,"c++, testing"
75,77,AEX-38254,SWE3 Handle Persistent data for ISL,"Handle Persistent data for states, update resume info, other data that needs to be cached for ISL diagnostic use case",asriva34,"Peristent handling implemented, tested and checked-in to git",to implement persistent handling for ISL diagnostic usecase,we can re use or store cache info needed for diagnostic update,"c++, autosar adaptive"
76,78,AEX-32440,Full Image Update test,Provide file read support for ISL so that we can initialize ISL based on the data in persistency,asriva34,Code reviewed and merged with the master,to provide file read support for ISL ,we can read data from persistency,c++
77,79,AEX-20204,Fixing Tar Extractor,Fixing tar extractor for extracting rooted tar files,asriva34,,,we can test the SUM apis,"c++, debugging"
78,80,AEX-159860,Aurix manual testing for integration,Identify all testcases and complete the manual testing for aurix for integration to both PRT and aurix,rbatish,The build for aurix should work and be integrated in aurix_build,,,"trace32, testing"
79,81,AEX-159859,Aurix integration to aurix_build and PRT,make the build for aurix work and be integrated in aurix_build,rbatish,The build for aurix should work and be integrated in aurix_build,,,cmake
80,82,AEX-156743,Integration of integration script and delta script ,Have a meet with integration team and make sure all things are done for the script to be integrated in integration pipeline,rbatish,script should be integrated in integration pipeline,to follow up with integration team,we can integrate the script to pipeline,communication 
81,83,AEX-156686,Big fixing for active bootchain,Following up story for sims https://jiradevopsjlr-appscom/browse/SIMS-9507,rbatish,Active bootchain is working fine,,,"trace32, testing, C++"
82,84,AEX-156644,PRT prep release,Follow with the changes and make sure for the aurix integration biweekly and making others know about the release and the process,rbatish,Accepted biweekly,,,communication
83,85,AEX-155146,Aurix SWUD PRT -  Automated test for Drop 8  - Jump back interface ,"Aurix SWUD PRT -  Automated test test for Drop 8
  test jump back interface",rbatish,"ATS based Test implemented and tested _x000D_
MR raised ",,,canoe
84,86,AEX-150243,SWE3 Understanding DADHA PRTI delivery,"To integrate our component into PRTI pipeline, we might need some pre-requisites This ticket covers it",rbatish,"Document pre-requisites as part of ticket / Confluence page_x000D_
https://confluencedevopsjlr-appscom/display/NGAE/Guidelines+-+DADHA+and+DADSA+PRTI+delivery",,,Communication
85,87,AEX-150213,SWE2 Design discussion for tegrarecovery,"https://jiradevopsjlr-appscom/browse/SIMS-8798_x000D_
As part of this SIMS, we have to own tegrarecovery and need to change the way tegrareset is being implemented at the moment",rbatish,MSOSA artefacts for implementation of tegrarecovery,to create architecture for tegrarecovery,we can get rid of the global variable tegrareset,"msosa, communication"
86,88,AEX-150185,SWE3 To deliver the AURIX SWC to DADHA PRTI,"As part of new process, swdl aurix application has to be delivered as part of PRTI",rbatish,Application merged as part of PRTI branch: https://git-gddsdojlrmotorcom/ADAS/loki/PRTI/DADHA_Platform_Train/-/tree/master?ref_type=heads,to merge swdl_aurix application in prti pipeline,it can be easily merged for drop-10,Cmake
87,89,AEX-146871,SWE3 Validation of SWDL SWC component for vlca on Drop8 aurix base image,"For the two new features added to SWDL SWC as part of drop-8 we need to verify whether they are working as intended in drop-8 base image and fix if there are any issues that we encounter

Features:
  Registering to VLCA state",rbatish,Sanity test for drop 8 image for Aurix with features verified,to test aurix drop-8 image,we can verify whether swdl swc is working as intended,"trace32, testing"
88,90,AEX-145532,SWE3 Modification in packaging script for new feature,to write code for making modifications to packaging script so that new feature can be delivered to integration team,rbatish,MR merged to software-update-orin ,to write code for making modifications to software update orin,new feature can be delivered to integration team,"Python, Debugging"
89,91,AEX-143059,SWE3 SWDL changes for retrieving vlca data,Software update orin will be updated to get the vlca states in the orin from the aurix signal to orin,rbatish,MR raised to software-update-orin ,to write code for subscribing to vlca,the required functionality can be achieved in drop8,C++
90,92,AEX-141013,Provide an overview for the signed and unsigned package generation for the integration team ,"overview of the scripts, msosa diagram and confluence page to the integration team",rbatish,"presentation to the integration team is done_x000D_
",,package script to integration team,"msosa, communication"
91,93,AEX-138169,Completion of msosa and confluence page for the signed and unsigned package generation for the integration team ,"submission of the scripts, msosa diagram and confluence page to the integration team",rbatish,review by rajesh of the msosa diagram and the requirements along with the confluence page,,package script to integration team,"msosa, communication"
92,94,AEX-138164,SWE 3: Cysec: Verification of signed packages in ISL,verification of signed packages in ISL,rbatish,,,signed packages through ISL,"testing, C++"
93,95,AEX-132338,modelling for VLCA in autosar,modelling in the autosar classic for the SWDL SWC componect to register methods in VLCA,rbatish,,,,autosar classic
94,96,AEX-131993,SWE 3 : Discussion with integration team and add support with auth and val,Discussion would be done with integration team and additional support would be given addition of authorization and validation in package generation,rbatish,package generation working fine,code changes would be done in the package generation for integration team,package could be generated with authorization and validattion,"communication, python"
95,97,AEX-131984,SWE 1: TRM requirement validation for cybersecurity,validation of requiments of TRM in for cybersecurity,rbatish,,validation of TRM requirements,it can be validated,"TRM, communication"
96,98,AEX-129179,SWE 4 Validation of package using authentication,As a developer i want validation of package would be done by doing sample drive update on both TAMS and devkit using the generated package with dupkg,rbatish,sample drive update done succefully with orin running, validation of package would be done ,sample drive update works on both TAMS and devkit using the generated package with dupkg,testing
97,99,AEX-128377,Package generation with authentication using dupkg,generation of package for sample drive update in devkit and TAMS using dupkg,rbatish,,,,python 
98,100,AEX-118594,SWE3 Lifecycle management of core-sum in SWDL application,Updating the software update orin repo with serve functions of core-sum,rbatish,,,,C++
99,101,AEX-118543,SWE4 validation using the delta image ,Validating the lifecycle manager using the delta image,rbatish,,,,testing
100,102,AEX-117018,Implementation of Update Manager,Implementation of update manager from the patch created,rbatish,,,,C++
101,103,AEX-116745,Generation of delta packages using NVDiff,create a package using nvdiff possibly with drop 5 and drop 6b images,rbatish,,,,debugging 
102,104,AEX-114427,SWE3 POC for package creation,"POC for creating two packages, one for F124 and one for F188",rbatish,POC demonstrated to integration team ,to create scripts to generate two packages,integration team can integrate it within their pipeline,python
103,105,AEX-159790,SWE6 Support and validation for SIMS-10070,To support and validate fixes provided for SIMS-10070,kanand,Validated SIMS-10070 and update with packages above 4GB can be performed through corvus,support and validate SIMS-10070,updates above 4GB can be performed through corvus,"debugging, corvus, communication"
104,106,AEX-159786,SWE6 Test Signed F124 package update through corvus,To test and verify signed image update for signed F124 package through corvus,kanand,Validation of signed image update for signed F124 package using corvus,update using signed F124 package,wired update can be validated,"testing, debugging"
105,107,AEX-155299,SWE4 Validation of D05B response codes from SWDL application,To validate different response codes from SWDL application according to various states,kanand,We validate the response codes for D05B,to test response codes from D05B interface,swdl status is responded accordingly,"testing, debugging, corvus"
