,text,labels
10,SWE5 Sanity testing SWDL mock adaptive application for Orin Wired Update  test the adaptive SWDL client application SO THAT basic IPC communication can be tested SWDL cli applications is tested for basic IPC communication and check in any changes to git repo to test the adaptive SWDL client application it doesn't crash other applications,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
11,SWE4: Updating ISL based on new packaging strategy updating ISL based on new packaging strategy updated ISL based on new packaging strategy to update ISL based on new packaging strategy we can have modified isl states,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"SWE4: Changing commit, activate and post activate classes to adapt to new packaging strategy DDU Images generated MR with modified classes for commit, activate and post-activate states to  change these states classes we can avoid using metadata files and use aurix route instead","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,SWE4: Testing BSDIFF POC on target DDU Images generated Create ddu package for the latest 520 release to test bsdiff poc on target we can share the findings with NVIDIA,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
14,SWE4: Flashing target with BSDIFF compliant avos release To complete flashing of devkit using BSDIFF supported AVOS release from NV Target flashed with appropriate version of AVOS release to flash target we can proceed with target testing for bsdiff,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
15,SWE4: DDU generation for 520 DDU Images generated Create ddu package for the latest 520 release to create ddu images for 520 version we can proceed with target testing for bsdiff,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
16,Modifying deltapy script for DDU Generation  Adding features to create ddu images in the delta generation script MR merged with the functional deltapy To add functionalities to the deltapy I can provide functionality to generate DDU images,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
17,"SWE2: TRM requirements for packaging strategy and package extraction Moving requirements to release state Remove packaging strategy, covered as part of the SOTA
 Software package (OTA pending for released state)
Extraction of package requirements in TRM

Moving requirements to Release State on TRM : Extraction of package to add requirements to TRM for action items mentioned in the acceptance criterion we can move the corresponding requirements to released state after review them","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
18,SWE4 Fixing SIMS 6823 - FaltMngrCcplex app running but logs not coming in ORIN folder and app name is not coming in running application list in EXEClog Fixing the SIMS issue 6823,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
19,SWE4 Packaging strategy for SOTA Adding requirements to the trm for sota packages,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
20,SWE5 Testing SWDL mock adaptive application for basic IPC communication  test the adaptive SWDL client application SO THAT basic IPC communication can be tested SWDL cli applications is tested for basic IPC communication and check in any changes to git repo to test the adaptive SWDL client application basic IPC communication can be tested,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
21,"Removing Compiler flags from CMAKE Lists
[SIMS-4743] Incorrect use of CMAKE_C_FLAGS and CMAKE_CXX_FLAGS in software_update_orin - Jaguar Land Rover JIRA (jlr-apps.com)","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
22,SWE4 Connection handler static analysis klocwork static analysis based code changes to connection handler Connection Handler klocwork,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,Creating end to end sequence diagram for SOTA wrt SWDL application in MSOSA Reviewing the overall SOTA flow and adding sequence diagrams in MSOSA MSOSA diagrams for the SOTA sequence,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,SWE4 Drive Update Abstraction Static Analysis klocwork static analysis based code changes for drive update abstraction layer Drive Update Abstraction Code cleanup,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,SWE3 - Drafting delta image scripts for integration team Drafting the script for integration team to implement delta generation An MR with the integration team scripts,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"SWE3 - Validation of bsdiff release from Nvidia Validating NVIDIA's bsdiff release du-delta-poc-rel-05 on orin images _x000D_
 A confluence page with compression results for the experiment _x000D_
Currently the integration team hasnt released the licenses for qnx safety os 224_x000D_
So we have to populate the results for the older versions of integration team images","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
27,"SWE 3 Implementing Logging Wrapper for SWDL Creating a logging static library to be used across components of SWDL_x000D_
The logging module has ability to use std::cout and ara logger depending on the build environment we are using Code tested with GTest suite Add logging module to the SWDL so that we can replace std::cout with the logger implementation","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,"SWE4: BSDIFF Validation Experiments Validation of BSDIFF release with the patchset provided in the mail chain with David Lang and team Confluence page with the results of validation
 Email sent to relevant stakeholders To validate the BSDIFF release with the patchset I can send the validation results to relevant stakeholders","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
29,ADAS Pilot Training Review - Detecting Memory Leaks in C/C++ Applications  Pranav please find the ticket assigned for the course review of Detecting Memory Leaks in C/C++ Applications. Please see details in EPIC to access the course content and how to fill in the review record. Thanks,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"Understanding the gaps in SWE1 for ISL Understanding the gaps in SWE1 for ISL 1 Changed requirements according to Krunal_x000D_
2 Identification of gaps between SWE3 and these requirements","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
31,"SWE 3 Implementing rollback function for ISLState::Commit, ISLState::Activate Bug Fixing- ISL Code tested with GTest suite add functionality to rollback from states we can ensure border cases are taken care of and code is working as intended","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
32,Implementation of ISL interfaces Implementation of ISL interfaces Raise MR for ISL Implementation to implement ISL interfaces SUM can use the ISL interfaces to invoke software update,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"Development of bootmanager-plugin Post confirmation from Rakesh exploration activity_x000D_
Communication gateway must work_x000D_
Bootmanager in Aurix should work { SomeIP }","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,"SWE 1 Create draft for requirements for Logging Define, draft and review SWE-1 requirements for Logging_x000D_
_x000D_
DoD: The requirements reviewed, accepted and documented into TRM to define requirements for Synchronisation between Diagnostics & OTA Sessions we can move ahead to work on SWE2 and SWE3","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
35,Interdependency review  Discussion with team members about interdependent requirements,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
36,Review  of requirement Second review of requirements,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
37,Review  1 of requirements First review of the requirements,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
38,"AA Setups, QNX Setup Adaptive Autosar setup, QNX setup required every week to compile and verify code to fix any found issues 1 Processes and tools set up for AA and QNX drive update_x000D_
2 Documentation of processes used_x000D_
3 Documentation of issues found during testing to establish processes and tools on AA and QNX update I can test code developed and fix any issues","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,"Integrate JSON Parser for Orin ISL Integrate JSON Parser for Orin ISL , test and checkin Integrate, Implement , test json Parser for Orin ISL and check-in to git to Json Parser utility for Orin ISL Orin ISL can fetch and parse json metadata json files","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,"Develop Individual ISL States for ISL Diagnostic update Implement, test and review Initialization layer for Orin ISL After reviewed and review comments resolved , check in to git repository to develop the Initialization layer for Orin ISL we can proceed to work on rest of business logic for ISL","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
41,"SWE 1 Requirements for Synchronisation between Diagnostics & OTA Sessions Define, draft and review SWE-1 requirements for Synchronisation between Diagnostics & OTA Sessions.
We want to define how precedence of one update mode over other is defined within ISL. For example, we want to define requirements in a case where an update in OTA is interrupted by a diagnostic update and vice-versa.
DoD: The requirements reviewed, accepted and documented into TRM. to define requirements for Synchronisation between Diagnostics & OTA Sessions we can move ahead to work on SWE2 and SWE3","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
42,"Modifying DAL APIs for deploy metadata Modifying DAL APIs for deploy metadata Reviewed API documentation for LCM component within MSOSA to create API documentation for LCM the workings, requirements and interactions of LCM are defined completely","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
43,"Draft SWE1 Software Requirements for Orin ISL  Draft software requirements for Orin ISL for modules :
Initialization layer, Public layer, State machine,
Abstraction of NVIDIA,
Utility SWE level requirements for Orin ISL drafted in TRM to draft swe level requirements for ORIN ISL we can complete SWE1 and move ahead to SWE2,3","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
44,"Understanding scope of ISL( installer service library) The Install service Library (ISL) is a software component that resides on the Vehicle ECU responsible for updating software on the ECU.
DoD:
A confluence page with the learnings from the study as well as review session. A review session with a team member_x000D_
A confluence page documenting the learnings to understand what ISL is and its scope so that I can perform my future tasks","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
45,"Understanding ways to update : OTA / diagnostics All modules within the ECU - CCPLEX, FSI and Aurix, are updateable using both Diagnostic based update (UDS) as well as OTA, adhering to the standard diagnostic protocols, diagnostic requirements and interfaces defined by JLR.

DoD:
A confluence page with the learnings from the study as well as review session. A review session with a team member_x000D_
A confluence page documenting the learnings to study about ways to update OTA and Dignostics so that I can get familiar with concepts like UDS, OTA, Diagnostics","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
46,"SW flash and hands-on for memory layout on devkit Full image update is one of the ways to update the ORIN devkit Having a hands-on knowledge of the process is crucial for the team We should go through the documentation and perform a full image update_x000D_
DoD:_x000D_
Completion of full image update using the documented steps Completion of full image update using the documented steps go through the documented steps of full image update I can get familiar with the devkit and perform a full image update","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
47,"Training for TRM and get write access TRM request  To review the training materials provided for TRM and get accustomed with the usage.
  To complete TRM assessments
 To request approval for TRM  Write access. Basic understanding of TRM
 Hands-on tutorials of TRM
 Passing TRM assessments
 Getting access for TRM to get well versed with TRM training it will facilitate to draft requirements in the upcoming sprints","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
48,"Ramp Up: Software Update Manager workflow As a SW Architect

I want to understand SUM workflow and collaborate with SUM team for the same

So that 

DoD:
  Understand the workflow of SUM
 Discussions with SUM team regarding any queries
  How we can use this understanding to develop SUM for DADC","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
49,SWE3 Send dummy signal (GetActiveBootchain) for SIMS-9362 Send dummy signal (GetActiveBootchain) from Idle state to validate CCPLEX->AURIX communication Send dummy signal (GetActiveBootchain) from Idle state to validate CCPLEX->AURIX communication to Send dummy signal (GetActiveBootchain) from Idle state to validate CCPLEX->AURIX communication,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
50,SWE6 Test Signed F188package update through corvus To test and verify signed image update for signed F188 package through corvus Validation of signed image update for signed F188 package using corvus update using signed F188 package wired update can be validated,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
51,review the full image update To review and verify the full image signed update,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
52,"SWE3 Ccplex Aurix Changes for NV Bootchain Configurator When SetNextBootchain API provided by NVM is called, the execution of the task takes around 3 second.
 In case we issue any other command for Setting or Getting the bootchain, we get an error on the Aurix console and the NVM persistency blocks are corrupted.
 This leads to invalid response from getNext bootchain in the subsequent power cycles due to which ORIN does not boot up. No NV block Corruption at NV API queries_x000D_
_x000D_
Fix Delivered:_x000D_
_x000D_
orin_build fix MR: https://git-gddsdojlrmotorcom/ADAS/loki/sw-integration/loki-builds/orin_build/-/merge_requests/453 _x000D_
aurix_build fix MR: https://git-gddsdojlrmotorcom/ADAS/loki/sw-integration/loki-builds/aurix_build/-/merge_requests/543 to make changes in software-update-orin and software-update-aurix Bootchain configurator works fine","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
53,SWE3 SIMS 5472 fixes Code Modifications for SIMS-5472  SIMS 5472 Changes are realised,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
54,"SWE3 DID D05B implementation (response codes 0x41 to 0x73) Implementation of DID D05b response codes Response codes covered:_x000D_
E_COMMIT_UNSUCCCESSFUL = 0x41,_x000D_
E_COMMIT_INPROGRESS = 0x42,_x000D_
E_ROLLBACK_SUCCESS = 0x50,_x000D_
E_ROLLBACK_FAILURE = 0x51,_x000D_
E_ROLLBACK_INPROGRESS = 0x52,_x000D_
E_TIMEOUT_PENDNG_ROLLBACK_ACTIVATION = 0x60,_x000D_
E_SYNC_PENDING = 0x70,_x000D_
E_SYNC_INPROGRESS = 0x71,_x000D_
E_SYNC_UNSUCCESSFUL = 0x72,_x000D_
E_UNDEFINED = 0xFF,_x000D_
E_VALIDATION_SUCCESS_WAITING_INSTALLATION = 0x73 Code merged for D05B response codes write and test code blocks we get specific responses for D05B","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
55,"SWE3 DID D05B implementation (response codes 0x014 to 0x40) Implementation of DID D05b response codes Response codes covered:_x000D_
E_SOFTWARE_EXECUTION_ERROR = 0x14,_x000D_
E_Wait_ACTIVATION = 0x15,_x000D_
E_REPROGRAM_MAXCOUNT_REACHED = 0x16,_x000D_
E_SOFTWARE_HARDWARE_VERSION_INCOMPATIBLE = 0x17,_x000D_
E_INSTALLATION_INPROGRESS = 0x18,_x000D_
E_INSTALLATION_SUCCESSFUL = 0x19,_x000D_
E_VALIDATION_SUCCESS_WAITING_SWITCHBANK = 0x1A,_x000D_
E_VALIDATION_UNSUCCESSFUL = 0x1B,_x000D_
E_SWITCHBANK_SUCCESSFUL_PENDING_ACTIVATION = 0x20,_x000D_
E_SWITCHBANK_UNSUCCESSFUL = 0x21,_x000D_
E_SWITCHBANK_INPROGRESS = 0x22,_x000D_
E_FIRSTRUNTEST_SUCCESSFUL = 0x30,_x000D_
E_FIRSTRUNTEST_INPROGRESS = 0x31,_x000D_
E_FIRSTRUNTEST_UNSUCCESSFUL = 0x32,_x000D_
E_COMMIT_SUCCESSFUL = 0x40, Code merged for D05B response codes write and test code blocks we get specific responses for D05B","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
56,"SWE3 DID D05B implementation (response codes 0x00 to 0x13) Implementation of DID D05b response codes Response codes covered:_x000D_
E_LASTSWDL_SUCCESS = 0x00,_x000D_
E_LASTSWDL_INCOMPLETE = 0x01,_x000D_
E_FAILED_SIGNATURE_CHECK = 0x02,_x000D_
E_SWVERSION_MISMATCH = 0x03,_x000D_
E_CHECKVALID_APPLICATION_NOTRUN = 0x04,_x000D_
E_SOFTWARE_DOWNLOAD_INPROGRESS = 0x05,_x000D_
E_SOFTWARE_DOWNLOAD_INCOMPLETE = 0x06,_x000D_
E_SWVERSION_MISMATCH_CONTROLSLAVE_NODE = 0x07,_x000D_
E_WAIT_VALIDATE_CONFIGURATION = 0x08,_x000D_
E_VALIDATE_CONFIGURATION_INPROGRESS = 0x09,_x000D_
E_CONFIGURATION_PARAMETER_CONFLICT = 0x0A,_x000D_
E_CONFIGURATION_PARAMETER_HARDWARE_MISMATCH = 0x10,_x000D_
E_INVALID_PARAMETER_VALUES = 0x11,_x000D_
E_CONFIGURE = 0x12,_x000D_
E_CONFIGURATION_NOTSUPPORTED = 0x13, Code merged for D05B response codes write and test code blocks we get specific responses for D05B","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
57,"SWE3 S2S fixes for SIMS 8313 SIMS-8313 fix by integrating jlr_swdl_application with updated ARXML SIMS-8313 is fixed, no crashes for DFMC to integrated jlr_swdl_application with updated ARXMLs SIMS-8313 can be fixed","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
58,SWE3 Validating S2S binding (configuration changes) IP configuration changes CCPLEX <--> Aurix Communication Successful,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
59,SWE4 Perform Interface testing for Orin UDP messages using Canoe to validate S2S (Aurix to CCPLEX) by sending signal using CANOE  tool udp messages to orin,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
60,SWE3 Changes in Diag Controller Interface for Update Scenarios  Code changes for multiple update scenarios for f124 and f188 packages  Successful Update of Devkit/TAMS with multiple update requests to make code changes for SWDL we can cover multiple scenarios for update API call for f124 and f188 packages,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
61,"SWE3 Logging Integration for ISL Modifications in current logger_x000D_
Integration of logger for ISL module Logging tested in linux_x000D_
ARA Logging tested on TAMS to modify the logger, and integrate it in sub-components like ISL logging use case is easier and logging module can be used","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
62,SWE4 GTest cases for ISL To write google test using gtest and gmock for ISL state classes Code coverage above 90% write google test cases for ISL we get 90% code coverage,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
63,"SWE3 Integration of PREEvision model  PREEvision model to be provided for SWDL interfaces
  [https://git-gdd.sdo.jlrmotor.com/ADAS/loki/platform-services/CCPLEXServices/-/merge_requests/23]
  [https://git-gdd.sdo.jlrmotor.com/ADAS/loki/platform-services/CCPLEXServices/-/merge_requests/14]
  Integration of Model for our component
 Code Changes
 Bug Fixes Fixed compilation issues to replace our ARXMLs with PREEvision modelled ARXLs our component is inline with other components and we can facilitate services like s2s, DM","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
64,"SWE3 S2S Pdu ARXML changes https://jiradevopsjlr-appscom/browse/SIMS-5161 Adding SWDL I signal and I signal triggerings in model, Application should successfully launch in integration build","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,SWE3 Machine Model ARXML changes for S2S    https://jiradevopsjlr-appscom/browse/SIMS-5161 Application launching Successfully after machine model changes,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
66,"SWE3 Validate S2S running with PREEvision changes Making jlr_swdl_appllication run independently with S2S enabled to proceed with testing_x000D_
TAMS configuration Making jlr_swdl_appllication run independently with S2S enabled to proceed with testing_x000D_
TAMS configuration to facilitate communication between aurix and ccplex we can send and receive bootchain configuration signals","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
67,SIMS-6457- SWDL 0074 crashing SomeIP Deamon Fix issue: [SIMS-6457] SWDL 0074 crashing SomeIP Deamon - Jaguar Land Rover JIRA (jlr-appscom) Issue is fixed and tested,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
68,"SWE3 SWDL Drop 7 Integration Providing descriptions for SWDL services for PREEvision modelling_x000D_
_x000D_
https://git-gddsdojlrmotorcom/ADAS/loki/platform-services/CCPLEXServices/-/tree/aex-115251-ccf-client-services-for-drop8?ref_type=heads","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
69,SWE3 Dynamic File Manager Serve Metadata files to dumaster Test for  all the phases of update using generated metadata,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,SWE3 Validate and Test Rollback Sequences Validate and test the patch for rollback sequences [AEX-62132] Rollback functions properly,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
71,SWE4 GTest for Idle state   Unit test for Idle State using gtest and gmock framework  Code coverage >= 90% for Idle state to create unit tests for Idle state We can get code coverage reports for Idle state,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
72,Develop Tar package extractor Integrate the tar package extractor using ZLib Tar package extractor,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
73,"GCoverage for Utilities Integrating task runner utilities in orin ISL implementation Integration of task runner
 Test cases passed for all APIs in OrinImpl to integrate task runner utility in ISL I can run asynchronous APIs efficiently using task runner","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,"GTest Suite For Utilities DoD:
  Design the GTest suite for utilities
  Upload and merge it with master in gitlab DoD:_x000D_
_x000D_
Design the GTest suite for utilities_x000D_
Upload and merge it with master in gitlab","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
75,"SWE3 Handle Persistent data for ISL Handle Persistent data for states, update resume info, other data that needs to be cached for ISL diagnostic use case Peristent handling implemented, tested and checked-in to git to implement persistent handling for ISL diagnostic usecase we can re use or store cache info needed for diagnostic update","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,Full Image Update test Provide file read support for ISL so that we can initialize ISL based on the data in persistency Code reviewed and merged with the master to provide file read support for ISL we can read data from persistency,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,Fixing Tar Extractor Fixing tar extractor for extracting rooted tar files we can test the SUM apis,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
78,Aurix manual testing for integration Identify all testcases and complete the manual testing for aurix for integration to both PRT and aurix The build for aurix should work and be integrated in aurix_build,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
79,Aurix integration to aurix_build and PRT make the build for aurix work and be integrated in aurix_build The build for aurix should work and be integrated in aurix_build,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
80,Integration of integration script and delta script  Have a meet with integration team and make sure all things are done for the script to be integrated in integration pipeline script should be integrated in integration pipeline to follow up with integration team we can integrate the script to pipeline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
81,Big fixing for active bootchain Following up story for sims https://jiradevopsjlr-appscom/browse/SIMS-9507 Active bootchain is working fine,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
82,PRT prep release Follow with the changes and make sure for the aurix integration biweekly and making others know about the release and the process Accepted biweekly,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
83,"Aurix SWUD PRT -  Automated test for Drop 8  - Jump back interface  Aurix SWUD PRT -  Automated test test for Drop 8
  test jump back interface ATS based Test implemented and tested _x000D_
MR raised","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
84,"SWE3 Understanding DADHA PRTI delivery To integrate our component into PRTI pipeline, we might need some pre-requisites This ticket covers it Document pre-requisites as part of ticket / Confluence page_x000D_
https://confluencedevopsjlr-appscom/display/NGAE/Guidelines+-+DADHA+and+DADSA+PRTI+delivery","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
85,"SWE2 Design discussion for tegrarecovery https://jiradevopsjlr-appscom/browse/SIMS-8798_x000D_
As part of this SIMS, we have to own tegrarecovery and need to change the way tegrareset is being implemented at the moment MSOSA artefacts for implementation of tegrarecovery to create architecture for tegrarecovery we can get rid of the global variable tegrareset","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
86,"SWE3 To deliver the AURIX SWC to DADHA PRTI As part of new process, swdl aurix application has to be delivered as part of PRTI Application merged as part of PRTI branch: https://git-gddsdojlrmotorcom/ADAS/loki/PRTI/DADHA_Platform_Train/-/tree/master?ref_type=heads to merge swdl_aurix application in prti pipeline it can be easily merged for drop-10","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
